,content,class,species,filename
76,LeafScan,3956,Olea europaea L.,84726.jpg
77,LeafScan,2648,Arbutus unedo L.,90313.jpg
78,LeafScan,3124,Robinia pseudoacacia L.,1658.jpg
79,LeafScan,1973,Viburnum tinus L.,49307.jpg
80,LeafScan,1973,Viburnum tinus L.,65566.jpg
81,LeafScan,4840,Prunus laurocerasus L.,55653.jpg
82,LeafScan,4990,Sorbus domestica L.,104106.jpg
83,LeafScan,329,Hedera helix L.,1608.jpg
84,LeafScan,29939,Alnus cordata (Loisel.) Duby,110364.jpg
85,LeafScan,4843,Prunus padus L.,12535.jpg
86,LeafScan,3750,Laurus nobilis L.,89603.jpg
87,LeafScan,3956,Olea europaea L.,53899.jpg
88,LeafScan,44462,Pittosporum tenuifolium Gaertn.,102646.jpg
89,LeafScan,1973,Viburnum tinus L.,105791.jpg
90,LeafScan,30132,Fraxinus ornus L.,28828.jpg
91,LeafScan,4838,Prunus dulcis (Mill.) D.A.Webb,75930.jpg
92,LeafScan,1842,Buxus sempervirens L.,62753.jpg
93,LeafScan,4616,Paliurus spina-christi Mill.,75802.jpg
94,LeafScan,14872,Ulmus minor Mill.,72613.jpg
95,LeafScan,7315,Ginkgo biloba L.,36545.jpg
96,LeafScan,6367,Ruscus aculeatus L.,47227.jpg
97,LeafScan,3956,Olea europaea L.,30592.jpg
98,LeafScan,1203,Senecio vulgaris L.,20667.jpg
99,LeafScan,2941,Lathyrus cicera L.,97400.jpg
100,LeafScan,4109,Platanus x hispanica Mill. ex Münchh.,85876.jpg
101,LeafScan,30249,Nerium oleander L.,19030.jpg
102,LeafScan,3130,Sophora japonica L.,36087.jpg
103,LeafScan,6367,Ruscus aculeatus L.,60456.jpg
104,LeafScan,59,Rhus coriaria L.,17441.jpg
105,LeafScan,30056,Cornus sanguinea L.,6230.jpg
106,LeafScan,5474,Verbascum blattaria L.,83590.jpg
107,LeafScan,1973,Viburnum tinus L.,91440.jpg
108,LeafScan,14872,Ulmus minor Mill.,98646.jpg
109,LeafScan,3283,Quercus coccifera L.,67116.jpg
110,LeafScan,14872,Ulmus minor Mill.,28531.jpg
111,LeafScan,4502,Ranunculus bulbosus L.,82725.jpg
112,LeafScan,329,Hedera helix L.,19022.jpg
113,LeafScan,55,Pistacia lentiscus L.,40004.jpg
114,LeafScan,2648,Arbutus unedo L.,80067.jpg
115,LeafScan,3130,Sophora japonica L.,2034.jpg
116,LeafScan,2689,Euphorbia characias L.,25594.jpg
117,LeafScan,1842,Buxus sempervirens L.,14825.jpg
118,LeafScan,3962,Syringa vulgaris L.,34430.jpg
119,LeafScan,8712,Atriplex prostrata Boucher ex DC.,50090.jpg
120,LeafScan,13623,Quercus pubescens Willd.,40697.jpg
121,LeafScan,5124,Populus alba L.,11750.jpg
122,LeafScan,3958,Phillyrea angustifolia L.,102560.jpg
123,LeafScan,4827,Prunus avium (L.) L.,100592.jpg
124,LeafScan,326,Ilex aquifolium L.,15991.jpg
125,LeafScan,4617,Rhamnus alaternus L.,4957.jpg
126,LeafScan,4109,Platanus x hispanica Mill. ex Münchh.,105704.jpg
127,LeafScan,1973,Viburnum tinus L.,8578.jpg
128,LeafScan,2689,Euphorbia characias L.,72031.jpg
129,LeafScan,3288,Quercus ilex L.,5820.jpg
130,LeafScan,1325,Betula pendula Roth,84991.jpg
131,LeafScan,3750,Laurus nobilis L.,23920.jpg
132,LeafScan,7305,Juniperus oxycedrus L.,43535.jpg
133,LeafScan,4996,Sorbus torminalis (L.) Crantz,40747.jpg
134,LeafScan,2648,Arbutus unedo L.,49600.jpg
135,LeafScan,3288,Quercus ilex L.,37524.jpg
136,LeafScan,4379,Punica granatum L.,45951.jpg
137,LeafScan,5771,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,38.jpg
138,LeafScan,3282,Quercus cerris L.,25035.jpg
139,LeafScan,5602,Daphne cneorum L.,71500.jpg
140,LeafScan,44462,Pittosporum tenuifolium Gaertn.,1908.jpg
141,LeafScan,4109,Platanus x hispanica Mill. ex Münchh.,92787.jpg
142,LeafScan,4074,Pittosporum tobira (Thunb.) W.T.Aiton,83494.jpg
143,LeafScan,8524,Acer opalus Mill.,61914.jpg
144,LeafScan,3956,Olea europaea L.,93839.jpg
145,LeafScan,4932,Rubus idaeus L.,62171.jpg
146,LeafScan,29939,Alnus cordata (Loisel.) Duby,92909.jpg
147,LeafScan,14872,Ulmus minor Mill.,12040.jpg
148,LeafScan,30122,Fagus sylvatica L.,38992.jpg
149,LeafScan,3958,Phillyrea angustifolia L.,82626.jpg
150,LeafScan,3750,Laurus nobilis L.,54086.jpg
151,LeafScan,5602,Daphne cneorum L.,42139.jpg
152,LeafScan,329,Hedera helix L.,53000.jpg
153,LeafScan,3955,Ligustrum vulgare L.,101653.jpg
154,LeafScan,329,Hedera helix L.,5022.jpg
155,LeafScan,1325,Betula pendula Roth,104767.jpg
156,LeafScan,30122,Fagus sylvatica L.,7173.jpg
157,LeafScan,3279,Castanea sativa Mill.,18211.jpg
158,LeafScan,30056,Cornus sanguinea L.,65138.jpg
159,LeafScan,7305,Juniperus oxycedrus L.,59335.jpg
160,LeafScan,1329,Corylus avellana L.,71408.jpg
161,LeafScan,3958,Phillyrea angustifolia L.,13580.jpg
162,LeafScan,42933,Photinia serrulata Lindl.,54690.jpg
163,LeafScan,54,Cotinus coggygria Scop.,5619.jpg
164,LeafScan,8523,Acer monspessulanum L.,94342.jpg
165,LeafScan,6367,Ruscus aculeatus L.,79801.jpg
166,LeafScan,12,Acer saccharinum L.,111690.jpg
167,LeafScan,30122,Fagus sylvatica L.,30271.jpg
168,LeafScan,3956,Olea europaea L.,74427.jpg
169,LeafScan,1968,Sambucus nigra L.,62855.jpg
170,LeafScan,1842,Buxus sempervirens L.,30482.jpg
171,LeafScan,5124,Populus alba L.,97725.jpg
172,LeafScan,8774,Betula pubescens Ehrh.,11859.jpg
173,LeafScan,13559,Prunus serrulata Lindl.,105385.jpg
174,LeafScan,59,Rhus coriaria L.,46888.jpg
175,LeafScan,3962,Syringa vulgaris L.,49518.jpg
176,LeafScan,30126,Ficus carica L.,34768.jpg
177,LeafScan,3849,Morus alba L.,37163.jpg
178,LeafScan,3549,Glechoma hederacea L.,52635.jpg
179,LeafScan,2689,Euphorbia characias L.,81879.jpg
180,LeafScan,4721,Crataegus monogyna Jacq.,65193.jpg
181,LeafScan,1329,Corylus avellana L.,46851.jpg
182,LeafScan,3130,Sophora japonica L.,67644.jpg
183,LeafScan,44462,Pittosporum tenuifolium Gaertn.,96700.jpg
184,LeafScan,30126,Ficus carica L.,91143.jpg
185,LeafScan,13623,Quercus pubescens Willd.,42472.jpg
186,LeafScan,7315,Ginkgo biloba L.,22544.jpg
187,LeafScan,14872,Ulmus minor Mill.,8832.jpg
188,LeafScan,14872,Ulmus minor Mill.,18620.jpg
189,LeafScan,30126,Ficus carica L.,104579.jpg
190,LeafScan,3797,Liriodendron tulipifera L.,91530.jpg
191,LeafScan,30325,Rosmarinus officinalis L.,42030.jpg
192,LeafScan,5474,Verbascum blattaria L.,105502.jpg
193,LeafScan,5128,Populus nigra L.,24239.jpg
194,LeafScan,4842,Prunus mahaleb L.,111145.jpg
195,LeafScan,7483,Liquidambar styraciflua L.,78091.jpg
196,LeafScan,1968,Sambucus nigra L.,96334.jpg
197,LeafScan,1467,Albizia julibrissin Durazz.,24299.jpg
198,LeafScan,2689,Euphorbia characias L.,106086.jpg
199,LeafScan,8522,Acer campestre L.,58446.jpg
200,LeafScan,30040,Cercis siliquastrum L.,42183.jpg
201,LeafScan,3507,Pterocarya fraxinifolia (Poir.) Spach,70176.jpg
202,LeafScan,4620,Rhamnus cathartica L.,22332.jpg
203,LeafScan,54,Cotinus coggygria Scop.,72793.jpg
204,LeafScan,3279,Castanea sativa Mill.,77216.jpg
205,LeafScan,3942,Fraxinus angustifolia Vahl,28996.jpg
206,LeafScan,4827,Prunus avium (L.) L.,84261.jpg
207,LeafScan,3124,Robinia pseudoacacia L.,24110.jpg
208,LeafScan,3956,Olea europaea L.,67403.jpg
209,LeafScan,3549,Glechoma hederacea L.,5980.jpg
210,LeafScan,30132,Fraxinus ornus L.,29701.jpg
211,LeafScan,1325,Betula pendula Roth,12643.jpg
212,LeafScan,4838,Prunus dulcis (Mill.) D.A.Webb,92105.jpg
213,LeafScan,8522,Acer campestre L.,4812.jpg
214,LeafScan,5634,Celtis australis L.,12982.jpg
215,LeafScan,4739,Eriobotrya japonica (Thunb.) Lindl.,53467.jpg
216,LeafScan,3956,Olea europaea L.,25360.jpg
217,LeafScan,1973,Viburnum tinus L.,12347.jpg
218,LeafScan,3750,Laurus nobilis L.,28444.jpg
219,LeafScan,5714,Vitex agnus-castus L.,55035.jpg
220,LeafScan,326,Ilex aquifolium L.,104913.jpg
221,LeafScan,14900,Viburnum rhytidophyllum Hemsl. ex F.B.Forbes & Hemsl.,25482.jpg
222,LeafScan,1842,Buxus sempervirens L.,12732.jpg
223,LeafScan,3750,Laurus nobilis L.,69321.jpg
224,LeafScan,4840,Prunus laurocerasus L.,47595.jpg
225,LeafScan,5128,Populus nigra L.,111585.jpg
226,LeafScan,7305,Juniperus oxycedrus L.,59943.jpg
227,LeafScan,5634,Celtis australis L.,34447.jpg
228,LeafScan,8774,Betula pubescens Ehrh.,6194.jpg
229,LeafScan,4719,Crataegus laevigata (Poir.) DC.,109722.jpg
230,LeafScan,1972,Viburnum opulus L.,32280.jpg
231,LeafScan,6367,Ruscus aculeatus L.,74296.jpg
232,LeafScan,30040,Cercis siliquastrum L.,92752.jpg
233,LeafScan,3958,Phillyrea angustifolia L.,83218.jpg
234,LeafScan,8522,Acer campestre L.,35229.jpg
235,LeafScan,3279,Castanea sativa Mill.,37631.jpg
236,LeafScan,7305,Juniperus oxycedrus L.,68329.jpg
237,LeafScan,5128,Populus nigra L.,22583.jpg
238,LeafScan,2648,Arbutus unedo L.,62981.jpg
239,LeafScan,44462,Pittosporum tenuifolium Gaertn.,6590.jpg
240,LeafScan,8523,Acer monspessulanum L.,51541.jpg
241,LeafScan,3124,Robinia pseudoacacia L.,62565.jpg
242,LeafScan,14552,Solanum nigrum L.,90594.jpg
243,LeafScan,30131,Fraxinus excelsior L.,69842.jpg
244,LeafScan,2648,Arbutus unedo L.,109881.jpg
245,LeafScan,1842,Buxus sempervirens L.,18059.jpg
246,LeafScan,3283,Quercus coccifera L.,48536.jpg
247,LeafScan,14872,Ulmus minor Mill.,35529.jpg
248,LeafScan,3505,Juglans nigra L.,69142.jpg
249,LeafScan,329,Hedera helix L.,82823.jpg
250,LeafScan,1973,Viburnum tinus L.,38483.jpg
251,LeafScan,4616,Paliurus spina-christi Mill.,111402.jpg
252,LeafScan,44462,Pittosporum tenuifolium Gaertn.,70256.jpg
253,LeafScan,3797,Liriodendron tulipifera L.,87659.jpg
254,LeafScan,30249,Nerium oleander L.,76369.jpg
255,LeafScan,2641,Elaeagnus angustifolia L.,18217.jpg
256,LeafScan,8522,Acer campestre L.,50368.jpg
257,LeafScan,5128,Populus nigra L.,8212.jpg
258,LeafScan,5131,Populus tremula L.,100225.jpg
259,LeafScan,3283,Quercus coccifera L.,36000.jpg
260,LeafScan,30122,Fagus sylvatica L.,100891.jpg
261,LeafScan,1328,Carpinus betulus L.,37657.jpg
262,LeafScan,2446,Cneorum tricoccon L.,76420.jpg
263,LeafScan,30132,Fraxinus ornus L.,101154.jpg
264,LeafScan,44462,Pittosporum tenuifolium Gaertn.,25863.jpg
265,LeafScan,55,Pistacia lentiscus L.,102117.jpg
266,LeafScan,664,Cirsium arvense (L.) Scop.,935.jpg
267,LeafScan,4840,Prunus laurocerasus L.,50278.jpg
268,LeafScan,3507,Pterocarya fraxinifolia (Poir.) Spach,54471.jpg
269,LeafScan,3451,Globularia alypum L.,51370.jpg
270,LeafScan,30131,Fraxinus excelsior L.,52366.jpg
271,LeafScan,2918,Gleditsia triacanthos L.,14488.jpg
272,LeafScan,1328,Carpinus betulus L.,46388.jpg
273,LeafScan,30040,Cercis siliquastrum L.,70210.jpg
274,LeafScan,54,Cotinus coggygria Scop.,103830.jpg
275,LeafScan,5623,Tilia cordata Mill.,96465.jpg
276,LeafScan,30381,Sorbus aria (L.) Crantz,10630.jpg
277,LeafScan,3568,Lamium purpureum L.,108502.jpg
278,LeafScan,1842,Buxus sempervirens L.,112988.jpg
279,LeafScan,8524,Acer opalus Mill.,18096.jpg
280,LeafScan,3849,Morus alba L.,34888.jpg
281,LeafScan,3279,Castanea sativa Mill.,14595.jpg
282,LeafScan,4721,Crataegus monogyna Jacq.,19740.jpg
283,LeafScan,4616,Paliurus spina-christi Mill.,6044.jpg
284,LeafScan,3846,Broussonetia papyrifera (L.) Vent.,9655.jpg
285,LeafScan,14872,Ulmus minor Mill.,68104.jpg
286,LeafScan,1948,Capparis spinosa L.,87228.jpg
287,LeafScan,55,Pistacia lentiscus L.,28048.jpg
288,LeafScan,3279,Castanea sativa Mill.,103424.jpg
289,LeafScan,4379,Punica granatum L.,30591.jpg
290,LeafScan,4840,Prunus laurocerasus L.,25077.jpg
291,LeafScan,30249,Nerium oleander L.,51465.jpg
292,LeafScan,30283,Pistacia terebinthus L.,78516.jpg
293,LeafScan,1842,Buxus sempervirens L.,91527.jpg
294,LeafScan,3958,Phillyrea angustifolia L.,94314.jpg
295,LeafScan,329,Hedera helix L.,9929.jpg
296,LeafScan,4109,Platanus x hispanica Mill. ex Münchh.,44436.jpg
297,LeafScan,32422,Perovskia atriplicifolia Benth.,95038.jpg
298,LeafScan,1948,Capparis spinosa L.,4870.jpg
299,LeafScan,1973,Viburnum tinus L.,88531.jpg
300,LeafScan,7315,Ginkgo biloba L.,35447.jpg
301,LeafScan,1972,Viburnum opulus L.,83179.jpg
302,LeafScan,3282,Quercus cerris L.,49164.jpg
303,LeafScan,30122,Fagus sylvatica L.,79534.jpg
304,LeafScan,13798,Rhus typhina L.,61314.jpg
305,LeafScan,3282,Quercus cerris L.,8927.jpg
306,LeafScan,5128,Populus nigra L.,57904.jpg
307,LeafScan,5537,Ailanthus altissima (Mill.) Swingle,62766.jpg
308,LeafScan,4460,Anemone hepatica L.,100323.jpg
309,LeafScan,1842,Buxus sempervirens L.,16232.jpg
310,LeafScan,30040,Cercis siliquastrum L.,50997.jpg
311,LeafScan,3124,Robinia pseudoacacia L.,46555.jpg
312,LeafScan,5714,Vitex agnus-castus L.,18919.jpg
313,LeafScan,2918,Gleditsia triacanthos L.,95594.jpg
314,LeafScan,7305,Juniperus oxycedrus L.,7597.jpg
315,LeafScan,4379,Punica granatum L.,18469.jpg
316,LeafScan,44462,Pittosporum tenuifolium Gaertn.,91235.jpg
317,LeafScan,3750,Laurus nobilis L.,12972.jpg
318,LeafScan,3506,Juglans regia L.,20104.jpg
319,LeafScan,3283,Quercus coccifera L.,110647.jpg
320,LeafScan,4436,Clematis vitalba L.,109476.jpg
321,LeafScan,5132,Populus trichocarpa Torr. & A.Gray ex Hook.,46560.jpg
322,LeafScan,11,Acer pseudoplatanus L.,77702.jpg
323,LeafScan,2631,Diospyros kaki L.f.,48729.jpg
324,LeafScan,7305,Juniperus oxycedrus L.,30074.jpg
325,LeafScan,329,Hedera helix L.,27221.jpg
326,LeafScan,6367,Ruscus aculeatus L.,68887.jpg
327,LeafScan,5623,Tilia cordata Mill.,60654.jpg
328,LeafScan,5128,Populus nigra L.,76181.jpg
329,LeafScan,6367,Ruscus aculeatus L.,11739.jpg
330,LeafScan,3956,Olea europaea L.,95525.jpg
331,LeafScan,55,Pistacia lentiscus L.,11909.jpg
332,LeafScan,1842,Buxus sempervirens L.,7835.jpg
333,LeafScan,14872,Ulmus minor Mill.,101324.jpg
334,LeafScan,4838,Prunus dulcis (Mill.) D.A.Webb,29866.jpg
335,LeafScan,329,Hedera helix L.,105079.jpg
336,LeafScan,4827,Prunus avium (L.) L.,58079.jpg
337,LeafScan,30122,Fagus sylvatica L.,92598.jpg
338,LeafScan,4616,Paliurus spina-christi Mill.,42351.jpg
339,LeafScan,44462,Pittosporum tenuifolium Gaertn.,7121.jpg
340,LeafScan,4074,Pittosporum tobira (Thunb.) W.T.Aiton,57268.jpg
341,LeafScan,4762,Malus sylvestris Mill.,52026.jpg
342,LeafScan,4721,Crataegus monogyna Jacq.,92662.jpg
343,LeafScan,55,Pistacia lentiscus L.,23375.jpg
344,LeafScan,1328,Carpinus betulus L.,35626.jpg
345,LeafScan,3288,Quercus ilex L.,18658.jpg
346,LeafScan,7323,Taxus baccata L.,97696.jpg
347,LeafScan,3296,Quercus rubra L.,46573.jpg
348,LeafScan,329,Hedera helix L.,96059.jpg
349,LeafScan,4842,Prunus mahaleb L.,108931.jpg
350,LeafScan,5124,Populus alba L.,49538.jpg
351,LeafScan,30056,Cornus sanguinea L.,185.jpg
352,LeafScan,14872,Ulmus minor Mill.,73618.jpg
353,LeafScan,3288,Quercus ilex L.,112926.jpg
354,LeafScan,54,Cotinus coggygria Scop.,91303.jpg
355,LeafScan,3942,Fraxinus angustifolia Vahl,105622.jpg
356,LeafScan,30131,Fraxinus excelsior L.,92439.jpg
357,LeafScan,8523,Acer monspessulanum L.,63614.jpg
358,LeafScan,4842,Prunus mahaleb L.,37414.jpg
359,LeafScan,5714,Vitex agnus-castus L.,84934.jpg
360,LeafScan,14872,Ulmus minor Mill.,103262.jpg
361,LeafScan,3956,Olea europaea L.,46307.jpg
362,LeafScan,4714,Crataegus azarolus L.,94609.jpg
363,LeafScan,30040,Cercis siliquastrum L.,108700.jpg
364,LeafScan,4074,Pittosporum tobira (Thunb.) W.T.Aiton,88928.jpg
365,LeafScan,14872,Ulmus minor Mill.,27865.jpg
366,LeafScan,30056,Cornus sanguinea L.,95793.jpg
367,LeafScan,14900,Viburnum rhytidophyllum Hemsl. ex F.B.Forbes & Hemsl.,79486.jpg
368,LeafScan,3798,Magnolia grandiflora L.,62345.jpg
369,LeafScan,6367,Ruscus aculeatus L.,73633.jpg
370,LeafScan,2648,Arbutus unedo L.,79368.jpg
371,LeafScan,3288,Quercus ilex L.,69828.jpg
372,LeafScan,59,Rhus coriaria L.,94269.jpg
373,LeafScan,3846,Broussonetia papyrifera (L.) Vent.,71830.jpg
374,LeafScan,6367,Ruscus aculeatus L.,11228.jpg
375,LeafScan,1329,Corylus avellana L.,12938.jpg
376,LeafScan,3505,Juglans nigra L.,39544.jpg
377,LeafScan,7315,Ginkgo biloba L.,65281.jpg
378,LeafScan,2648,Arbutus unedo L.,7418.jpg
379,LeafScan,3956,Olea europaea L.,51482.jpg
380,LeafScan,30056,Cornus sanguinea L.,71950.jpg
381,LeafScan,30249,Nerium oleander L.,56520.jpg
382,LeafScan,30308,Quercus robur L.,87068.jpg
383,LeafScan,2648,Arbutus unedo L.,39265.jpg
384,LeafScan,3798,Magnolia grandiflora L.,49791.jpg
385,LeafScan,5634,Celtis australis L.,85778.jpg
386,LeafScan,5714,Vitex agnus-castus L.,716.jpg
387,LeafScan,8522,Acer campestre L.,4743.jpg
388,LeafScan,3291,Quercus petraea Liebl.,67610.jpg
389,LeafScan,5124,Populus alba L.,21453.jpg
390,LeafScan,4236,Persicaria maculosa Gray,13311.jpg
391,LeafScan,5634,Celtis australis L.,81433.jpg
392,LeafScan,3750,Laurus nobilis L.,103202.jpg
393,LeafScan,112,Bupleurum fruticosum L.,88747.jpg
394,LeafScan,4094,Plantago lanceolata L.,42340.jpg
395,LeafScan,8523,Acer monspessulanum L.,8386.jpg
396,LeafScan,3956,Olea europaea L.,95762.jpg
397,LeafScan,1842,Buxus sempervirens L.,103238.jpg
398,LeafScan,30040,Cercis siliquastrum L.,58940.jpg
399,LeafScan,30195,Laburnum anagyroides Medik.,20785.jpg
400,LeafScan,3958,Phillyrea angustifolia L.,101963.jpg
401,LeafScan,5602,Daphne cneorum L.,47373.jpg
402,LeafScan,13623,Quercus pubescens Willd.,67892.jpg
403,LeafScan,3750,Laurus nobilis L.,4251.jpg
404,LeafScan,1842,Buxus sempervirens L.,3228.jpg
405,LeafScan,4617,Rhamnus alaternus L.,95832.jpg
406,LeafScan,1329,Corylus avellana L.,63012.jpg
407,LeafScan,54,Cotinus coggygria Scop.,3319.jpg
408,LeafScan,4762,Malus sylvestris Mill.,69235.jpg
409,LeafScan,5128,Populus nigra L.,3445.jpg
410,LeafScan,30314,Reseda lutea L.,105755.jpg
411,LeafScan,30249,Nerium oleander L.,80530.jpg
412,LeafScan,30040,Cercis siliquastrum L.,84158.jpg
413,LeafScan,622,Centaurea scabiosa L.,35777.jpg
414,LeafScan,5602,Daphne cneorum L.,104371.jpg
415,LeafScan,30249,Nerium oleander L.,17692.jpg
416,LeafScan,6367,Ruscus aculeatus L.,46688.jpg
417,LeafScan,3505,Juglans nigra L.,33742.jpg
418,LeafScan,1947,Humulus lupulus L.,59122.jpg
419,LeafScan,4719,Crataegus laevigata (Poir.) DC.,93723.jpg
420,LeafScan,2648,Arbutus unedo L.,81476.jpg
421,LeafScan,3124,Robinia pseudoacacia L.,82955.jpg
422,LeafScan,6367,Ruscus aculeatus L.,67570.jpg
423,LeafScan,3846,Broussonetia papyrifera (L.) Vent.,107133.jpg
424,LeafScan,4721,Crataegus monogyna Jacq.,35551.jpg
425,LeafScan,7396,Polystichum setiferum (Forssk.) T.Moore ex Woyn.,93033.jpg
426,LeafScan,1973,Viburnum tinus L.,68139.jpg
427,LeafScan,42933,Photinia serrulata Lindl.,25853.jpg
428,LeafScan,1325,Betula pendula Roth,10939.jpg
429,LeafScan,4721,Crataegus monogyna Jacq.,57307.jpg
430,LeafScan,5124,Populus alba L.,112371.jpg
431,LeafScan,5634,Celtis australis L.,65658.jpg
432,LeafScan,3956,Olea europaea L.,43836.jpg
433,LeafScan,1331,Ostrya carpinifolia Scop.,109146.jpg
434,LeafScan,2689,Euphorbia characias L.,51057.jpg
435,LeafScan,3849,Morus alba L.,95570.jpg
436,LeafScan,2689,Euphorbia characias L.,53306.jpg
437,LeafScan,8522,Acer campestre L.,69590.jpg
438,LeafScan,1973,Viburnum tinus L.,15647.jpg
439,LeafScan,55,Pistacia lentiscus L.,91587.jpg
440,LeafScan,3438,Geranium rotundifolium L.,53276.jpg
441,LeafScan,30122,Fagus sylvatica L.,67826.jpg
442,LeafScan,3846,Broussonetia papyrifera (L.) Vent.,34316.jpg
443,LeafScan,3798,Magnolia grandiflora L.,60627.jpg
444,LeafScan,30122,Fagus sylvatica L.,14477.jpg
445,LeafScan,3291,Quercus petraea Liebl.,109623.jpg
446,LeafScan,3958,Phillyrea angustifolia L.,60032.jpg
447,LeafScan,4721,Crataegus monogyna Jacq.,44773.jpg
448,LeafScan,5714,Vitex agnus-castus L.,55815.jpg
449,LeafScan,3288,Quercus ilex L.,110948.jpg
450,LeafScan,4616,Paliurus spina-christi Mill.,64575.jpg
451,LeafScan,44462,Pittosporum tenuifolium Gaertn.,31977.jpg
452,LeafScan,1325,Betula pendula Roth,37988.jpg
